figure,panel,scientific_claim,source_file,source_hash,source_field,confirmatory_or_diagnostic,transformation,plot_script,output_file
Figure 6,"f,g",Frozen actual AdamW one-step and micro-update paths are displayed.,stage_06_Optimizer_Update_Dynamics_Training/01_update_map_qualification/results/d3/D3_20600603_GLOBAL.json,sha256:8ae7423055422bd74138edebb3834dfa1092ad9ba25d3e1bfcbd47b1956952f5,one_step_learning_rates[].learning_rate/Delta_L; micro_updates[].horizon*.loss_sequence,CONFIRMATORY,All stored learning-rate rows and 2/4-step sequences plotted without fitting.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf;publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D1_seed20600611.jsonl,sha256:c33445675d0152d31a6985c6b6ae70953f4e1edcb35246e9757356211b098abe,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D1_seed20600611.jsonl,sha256:6c1714a66864a78915b43b184e89e3f54bd8b2b225dd440354708eabb7791b96,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D1_seed20600611/run_summary.json,sha256:12b6641eb87346f6c3d2bea026d2c7a276f5f2f6f9b9a85fac67348152040aa7,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D1_seed20600612.jsonl,sha256:325122faadb4c805efa6b3b2170be9cb308b44a0b9982f93d2a3ae9eb66a7510,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D1_seed20600612.jsonl,sha256:2574fd7ce2242168de32ae032ccc47621f5c4d9149988f51379c0dba085aeb2e,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D1_seed20600612/run_summary.json,sha256:9448043371c91e0823a0791136f2bf1a4888dff3530f5580171975dd6790aaf3,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D1_seed20600613.jsonl,sha256:e9c9bebb4b3191afc29f5bde09fb7eddbc51aecdf1ca5872fc4d32001f85caf5,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D1_seed20600613.jsonl,sha256:263775fae764a8cb5a66d4db106a41f322d8029a4ca8ada666bedf312aedc12d,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D1_seed20600613/run_summary.json,sha256:545f1aff109d68d3a1fb826be58c990ee8bf8d36776c4df07fd7b4e41b1e514f,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D2_seed20600611.jsonl,sha256:ba994ab39670c3ded975f758794b557bf32a2c8b5d54eee8aead102a5789b9e7,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D2_seed20600611.jsonl,sha256:e500d386298f85b62c606af09ca2e3f63aa9995c9b768c55524cae503d610b3d,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D2_seed20600611/run_summary.json,sha256:c6a39fbc52bd5a9d50ae67c6345358cbcf871992b43bba00b500421536c41e24,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D2_seed20600612.jsonl,sha256:ecf3743aa46b2a200d249c05a78d4a13d4d4e36d701668cbf3a024cebf4a82ed,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D2_seed20600612.jsonl,sha256:20b002e60d6373e61c20a9964381606985778ca4ea353487faec8baef78c4039,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D2_seed20600612/run_summary.json,sha256:96e252ecb06fc12f098413143c6b8fb9e26e8b3c40a74c8ed41b1a631a5ea167,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D2_seed20600613.jsonl,sha256:8a6603a12c1c446bc3d02df2694cd67eceb685904da368607c018716827bbe61,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D2_seed20600613.jsonl,sha256:e428d43a788822a332b0b652557099e1fbb9dfef4ee6bc0545135226634db341,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D2_seed20600613/run_summary.json,sha256:3eb09923362f70b442573d50eafc58bb50fc126564a20ba6cea6fd5b3b609337,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D3_seed20600611.jsonl,sha256:2da7d52bd35719cc89165a39e436cfad7cfb74554c0d0a823a2db9b7abaadad3,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D3_seed20600611.jsonl,sha256:1c17aa9b39b249ccf655933ed65a2039d3bd9b04966931f35485c81f17864bbf,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D3_seed20600611/run_summary.json,sha256:60dcb537c3327b3b20421fe163d1bd60bc7b45bd5f46e7b073e1f34bd80d9e44,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D3_seed20600612.jsonl,sha256:e63c0a8cb9cc5b59e0f3bfaf8f0b0c7e290b1c1be5bf4b08649b70a1ee1933c8,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D3_seed20600612.jsonl,sha256:cdc1e3b524f9ad00e00a7b07a66417eaed345d70f97c49f146ca057b8bc55000,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D3_seed20600612/run_summary.json,sha256:279750f754c872953e1948d55e2f4ad39ee773a51b816adb2417ffb20d0ac515,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D3_seed20600613.jsonl,sha256:fcd0fcbd108e00a9bf46190273e0698882c9e741c46d88d5b4f231e4f8422dca,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D3_seed20600613.jsonl,sha256:62afc3e9163ff389300dc726427b8722da10a903c33285ec4f43bd92f4e8b1e0,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D3_seed20600613/run_summary.json,sha256:b1e5d751bcafbd5e8aee8b5715a690704bfc39b8f1aafffbb66f0f8098c533be,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,g,None of the complete 590-checkpoint inventory passed the TRAIN gate.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06cr/checkpoint_trajectory/all_590_checkpoint_metrics.jsonl,sha256:20659f95663dd9662d2053207bddd84b87b82dc5e1fd1eeb839bb880052a60f0,inventory_index/arm/TRAIN_Q_def,NEGATIVE_CONFIRMATORY,All rows plotted in frozen inventory order with preregistered Q=0.50 line.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,h,All nine formal runs executed and all arms finished at 0/3 seed passes.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/results/stage06c_results.json,sha256:bb435ed1ab25327d0be0839b3a1998b38cbd58c3cb3fa918425e545155e7e1af,run_count/arm results/seed passes,NEGATIVE_CONFIRMATORY,Frozen terminal verdict cards.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 8,d--g,Every frozen TRAIN trajectory is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D1_seed20700711.jsonl,sha256:e6f6e3990b0393b14f4c8d1e13e3f8fde0885aef72d1d5846f43513460569669,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen scheduled validation evaluation is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/validation_histories/D1_seed20700711.jsonl,sha256:6c6e2f7a262b8e0547ee5208600213566d2d7c8b3f91bf9117556ae146fed88f,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen terminal run and selected checkpoint is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D1_seed20700711/run_summary.json,sha256:4d4badb1bea28a602eea72f4fde266ee2974720a0a81ef2dc48dffed8e0fe8e2,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen TRAIN trajectory is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D1_seed20700712.jsonl,sha256:f3439997818f142a32557bbd64c4a0ed30ba44dfafcab22271b9abab6791aa2e,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen scheduled validation evaluation is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/validation_histories/D1_seed20700712.jsonl,sha256:c634e554f2101ed1566135277176633ebc4f277e436746f7b1d56f4d43cb6397,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen terminal run and selected checkpoint is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D1_seed20700712/run_summary.json,sha256:e6ef40d7ed3ef182467031b25d17473b5a82c6ae5b926c766150e2dc7bb19c7d,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen TRAIN trajectory is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D1_seed20700713.jsonl,sha256:8f70938c24eed923ff584d193a8f783a1b0025ece5ab8e235ce3b6567a8a904b,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen scheduled validation evaluation is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/validation_histories/D1_seed20700713.jsonl,sha256:98e9277890c5ba056ebabd69772fae59f33e3e119ac83a6c279fff4641074055,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
